total words: 79019
simplifies, count: 1
becomes, count: 7
doubleedged, count: 1
weapon, count: 8
chances, count: 2
averse, count: 5
princess, count: 1
unlikely, count: 3
carries, count: 3
size, count: 7
easy, count: 22
concealment, count: 1
womans, count: 11
knows, count: 12
capable, count: 5
searched, count: 4
carry, count: 12
banker, count: 10
inclined, count: 6
neither, count: 16
naturally, count: 9
secretive, count: 1
secreting, count: 1
anyone, count: 24
guardianship, count: 1
indirect, count: 1
political, count: 2
bear, count: 6
besides, count: 13
remember, count: 27
resolved, count: 1
within, count: 47
lay, count: 42
burgled, count: 2
pshaw!, count: 1
refuse, count: 6
rumble, count: 1
carriage, count: 20
orders, count: 3
letter, count: 29
gleam, count: 2
sidelights, count: 2
curve, count: 2
smart, count: 2
rattled, count: 5
loafing, count: 1
dashed, count: 8
forward, count: 31
earning, count: 2
elbowed, count: 1
loafer, count: 3
rushed, count: 33
quarrel, count: 5
broke, count: 14
increased, count: 4
sides, count: 3
loungers, count: 2
equally, count: 6
blow, count: 12
struck, count: 24
centre, count: 16
flushed, count: 4
struggling, count: 2
savagely, count: 2
fists, count: 4
sticks, count: 2
crowd, count: 7
protect, count: 2
blood, count: 14
freely, count: 6
